Linux 6.8.0-1024-aws (ip-172-31-34-59) 	03/31/25 	_x86_64_	(32 CPU)

11:18:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:19:06      23   25.49    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   73.53
11:19:06      24   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06      25   26.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
11:19:06      26   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06      27   25.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.26
11:19:06      28   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
11:19:06      29   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
11:19:06      30   41.00    0.00   59.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:19:06      31   25.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00

11:19:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:19:07     all   87.32    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00    4.16
11:19:07       0   85.15    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00    4.95
11:19:07       1   85.29    0.00    9.80    0.00    0.00    0.00    0.00    0.00    0.00    4.90
11:19:07       2   88.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
11:19:07       3   87.13    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00    4.95
11:19:07       4   85.15    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00    4.95
